wave,date,weekday,1,2,3,4,5,6,jackpot_number_of_prize,jackpot_value_of_prize,first_number_of_prize,first_value_of_prize,second_number_of_prize,second_value_of_prize,third_number_of_prize,third_value_of_prize
#00624,2020-08-12,wednesday,7,21,34,38,43,44,0,14457721000,22,10000000,790,300000,13278,30000
#00623,2020-08-09,sunday,11,13,14,43,44,45,0,13221947500,23,10000000,740,300000,12506,30000
#00622,2020-08-07,friday,17,26,35,40,43,44,1,70360287500,36,10000000,1802,300000,27471,30000
#00621,2020-08-05,wednesday,14,18,19,32,33,38,0,65070796000,39,10000000,1602,300000,26088,30000
#00620,2020-08-02,sunday,6,9,12,17,41,42,0,60108410500,18,10000000,1241,300000,22805,30000
#00619,2020-07-31,friday,4,9,19,29,36,41,0,55804881000,29,10000000,1515,300000,24155,30000
#00618,2020-07-29,wednesday,6,14,26,41,42,43,0,51471624500,40,10000000,1562,300000,23332,30000
#00617,2020-07-26,sunday,5,15,21,39,43,45,0,47551547500,38,10000000,1428,300000,21309,30000
#00616,2020-07-24,friday,4,25,31,35,39,41,0,44043448000,19,10000000,1003,300000,17650,30000
#00615,2020-07-22,wednesday,9,13,18,24,26,42,0,40417844000,27,10000000,1280,300000,20333,30000
#00614,2020-07-19,sunday,1,13,14,19,42,45,0,36823607000,19,10000000,949,300000,18027,30000
#00613,2020-07-17,friday,4,10,18,20,32,45,0,33354961500,25,10000000,1350,300000,18291,30000
#00612,2020-07-15,wednesday,10,11,18,19,20,45,0,30337936500,27,10000000,1166,300000,18372,30000
#00611,2020-07-12,sunday,2,15,21,27,31,35,0,27309454000,23,10000000,884,300000,14811,30000
#00610,2020-07-10,friday,18,20,22,33,35,39,0,24662886500,21,10000000,884,300000,14644,30000
#00609,2020-07-08,wednesday,14,15,17,21,31,38,0,23096788500,12,10000000,859,300000,14093,30000
#00608,2020-07-05,sunday,5,8,10,17,22,31,0,21412184000,16,10000000,892,300000,14858,30000
#00607,2020-07-03,friday,4,5,17,18,22,36,0,19920010500,37,10000000,930,300000,14276,30000
#00606,2020-07-01,wednesday,10,13,14,26,32,33,0,18717334500,11,10000000,729,300000,14071,30000
#00605,2020-06-28,sunday,4,15,24,36,37,41,0,17173729000,21,10000000,849,300000,13004,30000
#00604,2020-06-26,friday,9,23,27,30,38,41,0,15917912500,18,10000000,738,300000,12926,30000
#00603,2020-06-24,wednesday,7,17,18,32,39,40,0,14614719000,7,10000000,768,300000,12902,30000
#00602,2020-06-21,sunday,7,9,13,33,40,44,0,13220130500,22,10000000,883,300000,14258,30000
#00601,2020-06-19,friday,4,12,17,19,32,45,2,45684111000,45,10000000,2219,300000,35925,30000
#00600,2020-06-17,wednesday,7,16,28,33,34,45,0,84946818500,39,10000000,1936,300000,33745,30000
#00599,2020-06-14,sunday,19,22,24,41,44,45,0,78571404000,46,10000000,1911,300000,29107,30000
#00598,2020-06-12,friday,5,16,22,27,30,31,0,73475094000,36,10000000,1612,300000,26216,30000
#00597,2020-06-10,wednesday,2,11,23,25,26,35,0,68049543000,29,10000000,1674,300000,28765,30000
#00596,2020-06-07,sunday,6,7,11,16,23,44,0,62815156500,53,10000000,2326,300000,31276,30000
#00595,2020-06-05,friday,10,13,22,28,38,43,0,58798582000,34,10000000,1393,300000,22956,30000
#00594,2020-06-03,wednesday,1,15,17,19,40,43,0,54279268000,25,10000000,1241,300000,21772,30000
#00593,2020-05-31,sunday,1,6,13,27,35,40,0,49640083000,26,10000000,1327,300000,20992,30000
#00592,2020-05-29,friday,4,10,23,26,35,37,0,45537563500,24,10000000,1270,300000,20871,30000
#00591,2020-05-27,wednesday,6,15,29,30,37,42,0,41676491500,21,10000000,1155,300000,20938,30000
#00590,2020-05-24,sunday,1,29,30,32,34,35,0,37678580500,25,10000000,879,300000,16725,30000
#00589,2020-05-22,friday,3,8,19,28,35,41,0,33938516000,28,10000000,1229,300000,19443,30000
#00588,2020-05-20,wednesday,1,8,15,23,25,39,0,32194354500,40,10000000,1292,300000,20040,30000
#00587,2020-05-17,sunday,2,4,21,30,33,37,0,30660959000,25,10000000,904,300000,15472,30000
#00586,2020-05-15,friday,3,12,13,28,33,36,0,28926318500,31,10000000,1099,300000,17738,30000
#00585,2020-05-13,wednesday,6,20,21,35,40,45,0,27388276500,27,10000000,1183,300000,18134,30000
#00584,2020-05-10,sunday,7,9,23,32,33,37,0,25796746500,17,10000000,1014,300000,17364,30000
#00583,2020-05-08,friday,1,3,7,12,22,25,0,24151984500,25,10000000,1142,300000,17075,30000
#00582,2020-05-06,wednesday,3,18,25,29,30,44,0,22721676000,20,10000000,962,300000,16088,30000
#00581,2020-05-03,sunday,5,18,29,32,38,44,0,21141122000,16,10000000,806,300000,14384,30000
#00580,2020-05-01,friday,6,7,16,37,40,44,0,19664130500,11,10000000,710,300000,12607,30000
#00579,2020-04-29,wednesday,1,8,11,13,15,32,0,18366851000,8,10000000,942,300000,15272,30000
#00578,2020-04-26,sunday,5,25,30,36,37,41,0,16901292000,15,10000000,689,300000,12086,30000
#00577,2020-04-24,friday,10,31,37,39,40,43,0,15554413500,10,10000000,621,300000,10628,30000
#00576,2020-03-29,sunday,7,10,23,36,39,44,0,14287347500,6,10000000,664,300000,11464,30000
#00575,2020-03-27,friday,1,6,10,35,36,45,0,13089171500,12,10000000,661,300000,11442,30000
#00574,2020-03-25,wednesday,26,31,33,37,38,45,1,15800249000,12,10000000,675,300000,11957,30000
#00573,2020-03-22,sunday,2,10,19,22,24,29,0,14394846500,10,10000000,875,300000,13961,30000
#00572,2020-03-20,friday,8,23,29,37,39,44,0,13176623000,13,10000000,773,300000,12383,30000
#00571,2020-03-18,wednesday,6,21,30,37,38,45,1,62684211000,13,10000000,1219,300000,22398,30000
#00570,2020-03-15,sunday,4,7,11,17,19,31,0,57959783500,31,10000000,1588,300000,24547,30000
#00569,2020-03-13,friday,8,13,20,28,35,45,0,53983116000,33,10000000,1581,300000,24725,30000
#00568,2020-03-11,wednesday,12,16,29,35,37,44,0,50186438500,23,10000000,1418,300000,22113,30000
#00567,2020-03-08,sunday,3,13,17,19,21,43,0,46265120000,30,10000000,1300,300000,20998,30000
#00566,2020-03-06,friday,6,9,10,16,26,42,0,42660497500,33,10000000,1323,300000,21204,30000
#00565,2020-03-04,wednesday,1,7,17,24,35,41,0,39345173500,32,10000000,1209,300000,19063,30000
#00564,2020-03-01,sunday,1,6,7,13,26,39,0,36055064000,25,10000000,997,300000,17870,30000
#00563,2020-02-28,wednesday,2,19,23,27,29,38,0,32941839000,13,10000000,930,300000,16671,30000
#00562,2020-02-26,monday,2,10,12,20,24,39,0,29761306500,35,10000000,1238,300000,18771,30000
#00561,2020-02-23,friday,1,6,16,23,34,42,0,26980902000,21,10000000,1049,300000,16421,30000
#00560,2020-02-21,wednesday,13,15,22,28,29,41,0,24507303500,19,10000000,787,300000,13993,30000
#00559,2020-02-19,monday,1,16,23,25,30,38,0,22971905500,21,10000000,847,300000,15646,30000
#00558,2020-02-16,friday,1,4,14,36,37,41,0,21451490000,13,10000000,759,300000,12677,30000
#00557,2020-02-14,wednesday,4,14,24,32,36,43,0,19896006000,32,10000000,958,300000,14674,30000
#00556,2020-02-12,monday,5,13,16,20,24,35,0,18686469000,18,10000000,891,300000,14790,30000
#00555,2020-02-09,friday,1,4,18,22,26,35,0,17272512500,8,10000000,935,300000,13757,30000
#00554,2020-02-07,wednesday,6,11,15,33,40,44,0,15894979500,25,10000000,833,300000,13487,30000
#00553,2020-02-05,monday,9,19,24,37,38,45,0,14716702500,15,10000000,900,300000,15353,30000
#00552,2020-02-02,friday,1,4,16,32,35,38,0,13410590500,7,10000000,787,300000,12887,30000
#00551,2020-01-31,thursday,8,9,20,25,30,40,1,39393760000,30,10000000,1398,300000,20904,30000
#00550,2020-01-29,tuesday,3,10,16,24,39,44,0,35767812500,18,10000000,1034,300000,16394,30000
#00549,2020-01-26,saturday,4,5,9,25,33,37,0,32663745000,30,10000000,1183,300000,18837,30000
#00548,2020-01-22,tuesday,1,15,16,34,36,42,0,29298454500,23,10000000,1058,300000,18459,30000
#00547,2020-01-19,saturday,1,4,19,25,35,39,0,25510108000,31,10000000,1251,300000,19337,30000
#00546,2020-01-17,thursday,8,26,28,37,40,42,0,23200768000,24,10000000,1044,300000,18296,30000
#00545,2020-01-15,tuesday,2,8,19,31,38,44,0,21510758000,29,10000000,1037,300000,18007,30000
#00544,2020-01-12,saturday,7,12,17,21,35,45,0,19872112500,27,10000000,1334,300000,18655,30000
#00543,2020-01-10,thursday,10,18,24,35,41,43,0,18509904500,23,10000000,909,300000,15362,30000
#00542,2020-01-08,tuesday,2,4,10,21,25,43,0,17008985000,23,10000000,926,300000,15206,30000
#00541,2020-01-05,saturday,5,11,12,26,44,45,0,15550849500,41,10000000,1287,300000,17774,30000
#00540,2020-01-03,thursday,1,15,17,26,32,44,0,14655615000,19,10000000,767,300000,13611,30000
#00539,2020-01-01,tuesday,8,10,23,26,37,38,0,13312067500,19,10000000,829,300000,13625,30000
#00538,2019-12-29,sunday,7,12,21,24,35,43,1,57045118500,48,10000000,1540,300000,24319,30000
#00537,2019-12-27,friday,2,7,10,12,33,43,0,52865508000,26,10000000,1252,300000,23318,30000
#00536,2019-12-25,wednesday,10,18,25,26,36,43,0,48452999500,29,10000000,1250,300000,21772,30000
#00535,2019-12-22,sunday,9,10,11,18,22,36,0,44243846500,22,10000000,1352,300000,22246,30000
#00534,2019-12-20,friday,1,9,16,27,38,45,0,40443194000,31,10000000,1295,300000,19904,30000
#00533,2019-12-18,wednesday,8,9,12,19,22,25,0,37173295000,33,10000000,1605,300000,23142,30000
#00532,2019-12-15,sunday,3,13,15,16,22,36,0,35603542000,21,10000000,1052,300000,18750,30000
#00531,2019-12-13,friday,2,8,9,25,26,40,0,33790460500,25,10000000,1135,300000,18579,30000
#00530,2019-12-11,wednesday,1,2,8,27,29,39,0,32090856500,15,10000000,1046,300000,17261,30000
#00529,2019-12-08,sunday,12,20,30,31,34,44,0,30329123500,11,10000000,932,300000,15745,30000
#00528,2019-12-06,friday,2,20,26,35,43,45,0,28546624000,16,10000000,873,300000,14863,30000
#00527,2019-12-04,wednesday,16,19,24,30,32,35,0,26950480500,16,10000000,1019,300000,16157,30000
#00526,2019-12-01,sunday,3,14,16,27,31,35,0,25377089500,15,10000000,848,300000,14632,30000
#00525,2019-11-29,friday,14,15,16,17,19,34,0,23737598500,19,10000000,719,300000,13820,30000
#00524,2019-11-27,wednesday,3,5,13,19,20,33,0,22213329000,25,10000000,946,300000,15580,30000
#00523,2019-11-24,sunday,5,21,24,28,29,34,0,20885667500,13,10000000,758,300000,13544,30000
#00522,2019-11-22,friday,1,9,10,19,30,38,0,19423681500,25,10000000,994,300000,15436,30000
#00521,2019-11-20,wednesday,10,21,22,24,43,44,0,18300224000,10,10000000,684,300000,11659,30000
#00520,2019-11-17,sunday,6,7,14,31,39,44,0,16908131500,12,10000000,683,300000,12441,30000
#00519,2019-11-15,friday,2,13,27,33,40,41,0,15604919500,19,10000000,661,300000,11224,30000
#00518,2019-11-13,wednesday,17,19,24,30,31,40,0,14424595500,13,10000000,652,300000,11368,30000
#00517,2019-11-10,sunday,4,14,21,28,32,36,0,13211095000,5,10000000,614,300000,10774,30000
#00516,2019-11-08,friday,4,16,19,30,32,44,1,13105822000,15,10000000,708,300000,11333,30000
#00515,2019-11-06,wednesday,3,15,22,23,38,43,1,25973365000,38,10000000,1014,300000,15743,30000
#00514,2019-11-03,sunday,28,30,32,38,44,45,0,24662089000,28,10000000,844,300000,13669,30000
#00513,2019-11-01,friday,6,11,20,30,37,40,0,23289402000,12,10000000,847,300000,14003,30000
#00512,2019-10-30,wednesday,2,5,8,12,29,38,0,21917627500,28,10000000,1013,300000,16234,30000
#00511,2019-10-27,sunday,1,19,29,30,40,42,0,20715497000,15,10000000,729,300000,12371,30000
